feature1,feature2,true_label,predicted_label,true_label_processed,predicted_label_processed
0.14159413,0.11066061,0.0,0,1,1
0.14159413,0.12449247,0.0,0,1,1
0.11186568,0.13479047,0.0,0,1,1
0.039006647,0.14155461,0.0,0,1,1
0.1727299,0.1447849,0.0,0,1,1
0.16942754,0.14448132,1.0,1,0,0
0.13280158,0.14778863,1.0,1,0,0
0.1733217,0.144042,1.0,1,0,0
0.19351552,0.13108963,1.0,1,0,0
0.064649515,0.10362464,1.0,1,0,0
0.014957406,0.07977359,0.0,0,1,1
0.1333635,0.06678132,0.0,0,1,1
0.03618064,0.06750198,0.0,0,1,1
0.027140114,0.08238838,0.0,0,1,1
0.06659876,0.107921995,0.0,0,1,1
0.28357822,0.12915854,0.0,0,1,1
0.10392924,0.15506566,0.0,0,1,1
0.16097064,0.18564332,1.0,1,0,0
0.30737236,0.22089155,1.0,1,0,0
0.18131818,0.26081035,1.0,1,0,0
0.23683019,0.22329886,1.0,1,0,0
0.23683019,0.22778924,1.0,1,0,0
0.112083755,0.22869633,1.0,1,0,0
0.20847209,0.22602016,1.0,1,0,0
0.41014123,0.21976072,1.0,1,0,0
0.2637722,0.20991799,1.0,0,1,0
0.16564204,0.188776,1.0,0,1,0
0.06708207,0.16702177,0.0,0,1,1
0.13937865,0.14290173,0.0,0,1,1
0.068595715,0.13124074,0.0,0,1,1
0.21656561,0.14262292,0.0,0,1,1
0.17643858,0.15647887,0.0,1,0,1
0.2122944,0.18040645,1.0,1,0,0
0.20256026,0.21440564,1.0,1,0,0
0.2552484,0.25847647,1.0,1,0,0
0.3166589,0.3126189,1.0,1,0,0
0.08245048,0.10850152,1.0,1,0,0
0.08245048,0.15912504,1.0,1,0,0
0.2510072,0.19823577,1.0,1,0,0
0.39675084,0.22583368,1.0,1,0,0
0.12278454,0.2419188,1.0,1,0,0
0.26859194,0.2464911,1.0,0,0,0
0.2660973,0.22267081,1.0,0,0,0
0.39675084,0.22583368,1.0,1,0,0
0.12278454,0.2419188,1.0,1,0,0
0.26859194,0.2464911,1.0,1,0,0
0.2660973,0.22267081,1.0,1,0,0
0.20126118,0.19404492,1.0,1,0,0
0.17085357,0.17745192,1.0,1,0,0
0.038952176,0.1593593,0.0,0,1,1
0.20505448,0.14511107,0.0,0,1,1
0.18088514,0.12529576,0.0,0,1,1
0.11642703,0.12668453,0.0,0,1,1
0.14566244,0.13581625,0.0,0,1,1
0.04718497,0.1526911,0.0,0,1,1
0.16683193,0.16692701,0.0,0,1,1
0.20027103,0.17612815,0.0,0,1,1
0.27767998,0.17792249,0.0,0,1,1
0.1249528,0.17175889,1.0,0,1,0
0.2870661,0.15762477,1.0,1,0,0
0.0063358773,0.1476941,1.0,1,0,0
0.04492371,0.13939093,1.0,1,0,0
0.21324444,0.14777921,1.0,1,0,0
0.13489191,0.14661594,1.0,1,0,0
0.19234543,0.14687128,1.0,0,1,0
0.28068677,0.14627701,1.0,0,1,0
0.048305795,0.15152434,1.0,0,1,0
0.1082926,0.1620227,0.0,0,1,1
0.05132781,0.16472527,0.0,0,1,1
0.19171806,0.17195024,0.0,0,1,1
0.40977952,0.17755418,0.0,0,1,1
0.13205981,0.17672245,0.0,0,1,1
0.13807176,0.1620934,0.0,0,1,1
0.09382491,0.14046355,0.0,0,1,1
0.17097823,0.13570087,0.0,0,1,1
0.037441526,0.15804726,0.0,0,1,1
0.1483149,0.19460863,1.0,1,0,0
0.26430234,0.23397727,1.0,1,0,0
0.43044248,0.25374895,1.0,1,0,0
0.29032785,0.2623343,1.0,1,0,0
0.14599869,0.24794817,1.0,1,0,0
0.24075325,0.21893263,1.0,1,0,0
0.16764824,0.17060645,1.0,0,1,0
0.07714481,0.13477801,0.0,0,1,1
0.17663117,0.11107503,0.0,0,1,1
0.10325115,0.09384692,0.0,0,1,1
